LINEA;ID;COBROS
AGRO;CEQ145667;1,999.24
AGRO;CEQ145668;1,000.00
AGRO;CEQ145669;8,830.82
AGRO;CEQ145670;1,898.76
AGRO;CEQ145671;1,336.08
AGRO;CEQ145672;78.97
AGRO;CEQ145673;1,420.92
AGRO;CEQ145674;6,087.16
AGRO;CEQ145675;4,060.55
AGRO;CEQ145676;3,290.85
AGRO;CEQ145677;8,582.08
AGRO;CEQ145678;397.50
AGRO;CEQ145679;13,603.00
AGRO;CEQ145680;1,401.83
AGRO;CEQ145681;22,828.86
AGRO;CEQ145682;1,556.39
AGRO;CEQ145683;14,469.17
AGRO;CEQ145684;123.14
AGRO;CEQ145685;4,252.39
AGRO;CEQ145686;36,554.47
AGRO;CEQ145687;3,111.98
AGRO;CEQ145688;5,601.78
AGRO;CEQ145689;47,982.89
AGRO;CEQ145690;2,768.42
AGRO;CEQ145691;7,384.80
AGRO;CEQ145692;19,230.92
AGRO;CEQ145693;25,330.04
AGRO;CEQ145694;20,906.01
AGRO;CEQ145695;2,997.18
AGRO;CEQ145696;2,850.10
AGRO;CEQ145697;816.78
AGRO;CEQ145698;599.00
AGRO;CEQ145699;12,883.45
AGRO;CEQ145700;1,430.15
AGRO;CEQ145701;2,412.04
AGRO;CEQ145702;989.42
AGRO;CEQ145703;6,847.62
AGRO;CEQ145704;5,456.83
AGRO;CEQ145705;8,350.33
AGRO;CEQ145706;3,839.71
AGRO;CEQ145707;21,921.02
AGRO;CEQ145708;16,250.50
AGRO;CEQ145709;14,321.08
AGRO;CEQ145710;82,760.84
AGRO;CEQ145711;26,472.37
AGRO;CEQ145712;17,056.26
AGRO;CEQ145713;39,608.79
AGRO;CEQ145714;17,460.43
AGRO;CEQ145715;9,085.98
AGRO;CEQ145716;52,027.91
AGRO;CEQ145717;44,509.84
AGRO;CEQ145718;3,089.73
AGRO;CEQ145719;880.63
AGRO;CEQ145720;2,246.16
AGRO;CEQ145721;9,877.91
AGRO;CEQ145722;2,467.26
AGRO;CEQ145723;22,650.34
AGRO;CEQ145724;15,946.67
AGRO;CEQ145725;1,707.27
AGRO;CEQ145726;1,020.75
AGRO;CEQ145727;2,500.00
AGRO;CEQ145728;550.00
AGRO;CEQ145729;15,000.00
AGRO;CEQ145730;243.89
AGRO;CEQ145731;518.56
AGRO;CEQ145732;518.66
AGRO;CEQ145733;9,853.22
AGRO;CEQ145734;73,267.26
AGRO;CEQ145735;3,612.82
AGRO;CEQ145736;15,413.16
AGRO;CEQ145737;24,684.92
AGRO;CEQ145738;4,939.58
AGRO;CEQ145739;6,828.45
AGRO;CEQ145740;5,752.05
AGRO;CEQ145741;13,644.96
AGRO;CEQ145742;12,197.17
AGRO;CEQ145743;17,595.21
AGRO;CEQ145744;8,372.93
AGRO;CEQ145745;1,196.40
AGRO;CEQ145746;34,579.61
AGRO;CEQ145747;13,844.36
AGRO;CEQ145748;11,741.31
AGRO;CEQ145749;19,386.33
AGRO;CEQ145750;404.28
AGRO;CEQ145751;20,782.81
AGRO;CEQ145752;14,992.81
AGRO;CEQ145753;22,247.85
AGRO;CEQ145754;18,562.25
AGRO;CEQ145755;42,650.55
AGRO;CEQ145756;40,192.12
AGRO;CEQ145757;32,854.29
AGRO;CEQ145758;148,296.90
AGRO;CEQ145759;2,097.16
AGRO;CEQ145760;13,840.82
AGRO;CEQ145761;12,553.36
AGRO;CEQ145762;50,864.36
AGRO;CEQ145763;15,953.32
AGRO;CEQ145764;32,103.55
AGRO;CEQ145765;29,983.11
AGRO;CEQ145766;6,022.28
AGRO;CEQ145767;13,051.54
AGRO;CEQ145768;15,979.56
AGRO;CEQ145769;7,879.29
AGRO;CEQ145770;82,195.74
AGRO;CEQ145771;1,572.00
AGRO;CEQ145772;59,516.38
AGRO;CEQ145773;23,388.02
AGRO;CEQ145774;9,774.27
AGRO;CEQ145775;3,263.34
AGRO;CEQ145776;45,485.73
AGRO;CEQ145777;28,190.96
AGRO;CEQ145778;11,256.16
AGRO;CEQ145779;148,055.16
AGRO;CEQ145780;16,519.10
AGRO;CEQ145781;21,026.40
AGRO;CEQ145782;16,622.45
AGRO;CEQ145783;19,100.83
AGRO;CEQ145784;28,166.02
AGRO;CEQ145785;26,965.63
AGRO;CEQ145786;53,454.65
AGRO;CEQ145787;39,148.81
AGRO;CEQ145788;120,187.54
AGRO;CEQ145789;4,781.32
AGRO;CEQ145790;8,866.49
AGRO;CEQ145791;12,804.65
AGRO;CEQ145792;12,295.15
AGRO;CEQ145793;1,039.91
AGRO;CEQ145794;2,898.42
AGRO;CEQ145795;11.58
AGRO;CEQ145796;5,236.92
AGRO;CEQ145797;24,794.10
AGRO;CEQ145798;17,680.21
AGRO;CEQ145799;9,890.80
AGRO;CEQ145800;21,799.58
AGRO;CEQ145801;820.00
AGRO;CEQ145802;17,282.60
AGRO;CEQ145803;2,138.63
AGRO;CEQ145804;518.72
AGRO;CEQ145805;5,475.93
AGRO;CEQ145806;4,417.64
AGRO;CEQ145807;126,583.32
AGRO;CEQ145808;86,977.42
AGRO;CEQ145809;13,345.52
AGRO;CEQ145810;67,543.37
AGRO;CEQ145811;8,421.05
AGRO;CEQ145812;24,455.00
AGRO;CEQ145813;16,741.34
AGRO;CEQ145814;8,509.55
AGRO;CEQ145815;114,098.86
AGRO;CEQ145816;17,860.58
AGRO;CEQ145817;2,288.01
AGRO;CEQ145818;11,314.53
AGRO;CEQ145819;12,968.12
AGRO;CEQ145820;14,533.63
AGRO;CEQ145821;872.67
AGRO;CEQ145822;6,738.83
AGRO;CEQ145823;260,000.64
AGRO;CEQ145824;13,839.45
AGRO;CEQ145825;19,485.37
AGRO;CEQ145826;2,378.36
AGRO;CEQ145827;32,412.73
AGRO;CEQ145828;16,487.91
AGRO;CEQ145829;33,872.97
AGRO;CEQ145830;13,568.00
AGRO;CEQ145831;13,322.32
AGRO;CEQ145832;46,627.98
AGRO;CEQ145833;9,733.55
AGRO;CEQ145834;9,942.68
AGRO;CEQ145835;3,994.37
AGRO;CEQ145836;18,366.27
AGRO;CEQ145837;34,241.74
AGRO;CEQ145838;7,161.06
AGRO;CEQ145839;50,461.43
AGRO;CEQ145840;70,010.22
AGRO;CEQ145841;18,820.44
AGRO;CEQ145842;43,949.25
AGRO;CEQ145843;19,345.52
AGRO;CEQ145844;17,306.10
AGRO;CEQ145845;5,339.14
